날짜,외기온도,외기습도
21. 6. 6 오전 2:45,17.70,99.90
21. 6. 6 오전 3:00,17.80,99.90
21. 6. 6 오전 3:15,17.90,99.90
21. 6. 6 오전 3:30,17.90,99.90
21. 6. 6 오전 3:45,18.00,100.00
21. 6. 6 오전 4:00,18.00,100.00
21. 6. 6 오전 4:15,18.10,100.00
21. 6. 6 오전 4:30,18.10,100.00
21. 6. 6 오전 4:45,18.10,100.00
21. 6. 6 오전 5:00,18.20,100.00
21. 6. 6 오전 5:15,18.30,100.00
21. 6. 6 오전 5:30,18.20,100.00
21. 6. 6 오전 5:45,18.20,100.00
21. 6. 6 오전 6:00,18.20,99.90
21. 6. 6 오전 6:15,18.20,100.00
21. 6. 6 오전 6:30,18.30,100.00
21. 6. 6 오전 6:45,18.40,100.00
21. 6. 6 오전 7:00,18.40,100.00
21. 6. 6 오전 7:15,18.60,100.00
21. 6. 6 오전 7:30,18.80,100.00
21. 6. 6 오전 7:45,18.90,100.00
21. 6. 6 오전 8:00,19.00,100.00
21. 6. 6 오전 8:15,19.60,100.00
21. 6. 6 오전 8:30,19.70,100.00
21. 6. 6 오전 8:45,20.10,99.90
21. 6. 6 오전 9:00,20.10,99.90
21. 6. 6 오전 9:15,20.00,99.90
21. 6. 6 오전 9:30,20.10,100.00
21. 6. 6 오전 9:45,20.40,99.90
21. 6. 6 오전 10:00,20.60,99.90
21. 6. 6 오전 10:15,21.30,99.90
21. 6. 6 오전 10:30,,87.10
21. 6. 6 오전 10:45,22.00,87.10
21. 6. 6 오전 11:00,22.70,75.70
21. 6. 6 오전 11:15,22.90,72.60
21. 6. 6 오전 11:30,23.00,73.60
21. 6. 6 오전 11:45,23.00,69.30
21. 6. 6 오후 12:00,23.50,68.50
21. 6. 6 오후 12:15,23.40,66.90
21. 6. 6 오후 12:30,23.50,65.70
21. 6. 6 오후 12:45,23.30,69.70
21. 6. 6 오후 1:00,23.70,67.10
21. 6. 6 오후 1:15,24.00,64.70
21. 6. 6 오후 1:30,23.90,64.00
21. 6. 6 오후 1:45,24.70,64.50
21. 6. 6 오후 2:00,25.20,61.10
21. 6. 6 오후 2:15,23.60,70.30
21. 6. 6 오후 2:30,23.20,70.10
21. 6. 6 오후 2:45,22.80,72.50
21. 6. 6 오후 3:00,22.80,72.50
21. 6. 6 오후 3:15,22.70,74.40
21. 6. 6 오후 3:30,22.20,76.90
21. 6. 6 오후 3:45,21.60,83.60
21. 6. 6 오후 4:00,21.90,84.30
21. 6. 6 오후 4:15,21.50,88.50
21. 6. 6 오후 4:30,,100.00
21. 6. 6 오후 4:45,21.40,100.00
21. 6. 6 오후 5:00,21.40,99.90
21. 6. 6 오후 5:15,,99.90
21. 6. 6 오후 5:30,21.10,99.90
21. 6. 6 오후 5:45,21.10,99.90
21. 6. 6 오후 6:00,20.70,99.90
21. 6. 6 오후 6:15,20.50,100.00
21. 6. 6 오후 6:30,20.70,100.00
21. 6. 6 오후 6:45,20.80,99.90
21. 6. 6 오후 7:00,21.20,100.00
21. 6. 6 오후 7:15,20.80,99.90
21. 6. 6 오후 7:30,20.60,99.90
21. 6. 6 오후 7:45,20.50,99.90
21. 6. 6 오후 8:00,20.40,99.90
21. 6. 6 오후 8:15,19.80,100.00
21. 6. 6 오후 8:30,19.50,100.00
21. 6. 6 오후 8:45,19.10,100.00
21. 6. 6 오후 9:00,19.00,100.00
21. 6. 6 오후 9:15,18.90,99.90
21. 6. 6 오후 9:30,18.80,100.00
21. 6. 6 오후 9:45,18.80,99.90
21. 6. 6 오후 10:00,18.80,100.00
21. 6. 6 오후 10:15,18.40,99.90
